"BehaviorSpace results (NetLogo 6.1.1)"
"Wolf Sheep Predation.nlogo"
"wolf-sheep-grass-simpler"
"04/21/2020 12:31:36:944 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","wolf-gain-from-food","show-energy?","initial-number-wolves","wolf-reproduce","initial-number-sheep","model-version","sheep-gain-from-food","grass-regrowth-time","sheep-reproduce","[step]","count sheep","count wolves","count turtles"
"264","20","false","10","5","180","sheep-wolves-grass","4","30","4","1000","227","58","285"
"265","20","false","10","5","180","sheep-wolves-grass","4","30","4","1000","197","62","259"
"263","20","false","10","5","180","sheep-wolves-grass","4","30","4","1000","155","84","239"
"266","20","false","10","5","180","sheep-wolves-grass","4","30","4","1000","189","80","269"
"267","20","false","10","5","180","sheep-wolves-grass","4","30","4","1000","168","69","237"
"268","20","false","10","5","180","sheep-wolves-grass","4","30","4","1000","162","71","233"
"269","20","false","10","5","180","sheep-wolves-grass","4","30","4","1000","216","50","266"
"270","20","false","10","5","180","sheep-wolves-grass","4","30","4","1000","134","76","210"
"271","20","false","10","5","180","sheep-wolves-grass","4","30","4","1000","170","67","237"
"272","20","false","10","5","180","sheep-wolves-grass","4","30","4","1000","122","68","190"
"274","20","false","10","5","180","sheep-wolves-grass","4","30","4","1000","158","82","240"
"273","20","false","10","5","180","sheep-wolves-grass","4","30","4","1000","157","79","236"
"275","20","false","10","5","180","sheep-wolves-grass","4","30","4","1000","160","71","231"
"276","20","false","10","5","180","sheep-wolves-grass","4","30","4","1000","148","62","210"
"277","20","false","10","5","180","sheep-wolves-grass","4","30","4","1000","212","52","264"
"279","20","false","10","5","180","sheep-wolves-grass","4","30","4","1000","151","76","227"
"278","20","false","10","5","180","sheep-wolves-grass","4","30","4","1000","181","61","242"
"280","20","false","10","5","180","sheep-wolves-grass","4","30","4","1000","144","75","219"
"281","20","false","10","5","180","sheep-wolves-grass","4","40","4","1000","154","22","176"
"282","20","false","10","5","180","sheep-wolves-grass","4","40","4","1000","160","35","195"
"284","20","false","10","5","180","sheep-wolves-grass","4","40","4","1000","184","36","220"
"283","20","false","10","5","180","sheep-wolves-grass","4","40","4","1000","144","44","188"
"285","20","false","10","5","180","sheep-wolves-grass","4","40","4","1000","142","49","191"
"286","20","false","10","5","180","sheep-wolves-grass","4","40","4","1000","183","24","207"
"287","20","false","10","5","180","sheep-wolves-grass","4","40","4","1000","179","45","224"
"289","20","false","10","5","180","sheep-wolves-grass","4","40","4","1000","196","29","225"
"288","20","false","10","5","180","sheep-wolves-grass","4","40","4","1000","135","36","171"
"290","20","false","10","5","180","sheep-wolves-grass","4","40","4","1000","148","34","182"
"291","20","false","10","5","180","sheep-wolves-grass","4","40","4","1000","184","28","212"
"292","20","false","10","5","180","sheep-wolves-grass","4","40","4","1000","147","54","201"
"293","20","false","10","5","180","sheep-wolves-grass","4","40","4","1000","149","31","180"
"294","20","false","10","5","180","sheep-wolves-grass","4","40","4","1000","148","38","186"
"295","20","false","10","5","180","sheep-wolves-grass","4","40","4","1000","174","38","212"
"296","20","false","10","5","180","sheep-wolves-grass","4","40","4","1000","164","28","192"
"297","20","false","10","5","180","sheep-wolves-grass","4","40","4","1000","149","26","175"
"298","20","false","10","5","180","sheep-wolves-grass","4","40","4","1000","171","38","209"
"299","20","false","10","5","180","sheep-wolves-grass","4","40","4","1000","148","36","184"
"300","20","false","10","5","180","sheep-wolves-grass","4","40","4","1000","149","40","189"
"302","20","false","35","5","60","sheep-wolves-grass","4","20","4","1000","251","128","379"
"301","20","false","35","5","60","sheep-wolves-grass","4","20","4","1000","71","51","122"
"303","20","false","35","5","60","sheep-wolves-grass","4","20","4","1000","108","46","154"
"304","20","false","35","5","60","sheep-wolves-grass","4","20","4","1000","291","121","412"
"305","20","false","35","5","60","sheep-wolves-grass","4","20","4","1000","102","77","179"
"307","20","false","35","5","60","sheep-wolves-grass","4","20","4","1000","224","33","257"
"306","20","false","35","5","60","sheep-wolves-grass","4","20","4","1000","299","14","313"
"308","20","false","35","5","60","sheep-wolves-grass","4","20","4","1000","164","30","194"
"309","20","false","35","5","60","sheep-wolves-grass","4","20","4","1000","356","37","393"
"310","20","false","35","5","60","sheep-wolves-grass","4","20","4","1000","217","2","219"
"311","20","false","35","5","60","sheep-wolves-grass","4","20","4","1000","368","34","402"
"312","20","false","35","5","60","sheep-wolves-grass","4","20","4","1000","375","26","401"
"313","20","false","35","5","60","sheep-wolves-grass","4","20","4","1000","373","10","383"
"314","20","false","35","5","60","sheep-wolves-grass","4","20","4","1000","179","89","268"
"316","20","false","35","5","60","sheep-wolves-grass","4","20","4","1000","189","56","245"
"315","20","false","35","5","60","sheep-wolves-grass","4","20","4","1000","374","0","374"
"317","20","false","35","5","60","sheep-wolves-grass","4","20","4","1000","271","22","293"
"318","20","false","35","5","60","sheep-wolves-grass","4","20","4","1000","88","97","185"
"319","20","false","35","5","60","sheep-wolves-grass","4","20","4","1000","193","135","328"
"320","20","false","35","5","60","sheep-wolves-grass","4","20","4","1000","67","136","203"
"321","20","false","35","5","60","sheep-wolves-grass","4","30","4","1000","85","92","177"
